"","Clusterring_methods","ARI","Time"
"1","RaceID3",1,604.346173048019
"2","Monocle2",0.539641791400373,3.85963487625122
"3","SIMLR",0.636975924100379,13.3133368492126
"4","Seurat",0.568244848953915,47.4964108467102
"5","SC3",0.235635357439759,23.7824928760529
"6","CIDR",0.683008730691739,2.90320086479187
