"","Clusterring_methods","ARI","Time"
"1","RaceID3",0.53278078018281,38.2646450996399
"2","Monocle2",0.837162660710499,4.35721898078918
"3","SIMLR",0.690313401045931,87.3709199428558
"4","Seurat",0.640344663714695,17.1413481235504
"5","SC3",0.955032943637781,34.7652740478516
"6","CIDR",0.897744879714822,3.21435904502869
