"","Clusterring_methods","ARI","Time","Homogeneity"
"1","RaceID3",0.283929002662429,447.857135057449,0.375896087797956
"2","Monocle2",0.684802445920112,56.6976039409637,0.833143421981877
"3","SIMLR",0.735739315261184,5119.56137895584,0.798496855565768
"4","Seurat",0.828810009604826,62.513277053833,0.749461712819509
"5","SC3",0.811808441623532,622.781663894653,0.896607368104284
"6","CIDR",0.683335565004586,229.851684093475,0.588488491749051
